100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 66/66 [03:58<00:00,  3.62s/it]
{'loss': 1.2185, 'grad_norm': 1.7249966859817505, 'learning_rate': 0.00021428571428571427, 'epoch': 0.22}
{'loss': 0.1201, 'grad_norm': 1.0016283988952637, 'learning_rate': 0.0002980902532082017, 'epoch': 0.44}
{'loss': 0.0182, 'grad_norm': 0.15099908411502838, 'learning_rate': 0.000286595215928237, 'epoch': 0.67}
{'loss': 0.0007, 'grad_norm': 0.006858463399112225, 'learning_rate': 0.0002654750975144859, 'epoch': 0.89}
{'loss': 0.0003, 'grad_norm': 0.003538470482453704, 'learning_rate': 0.00023621811153216104, 'epoch': 1.11}
{'loss': 0.0001, 'grad_norm': 0.0017856636550277472, 'learning_rate': 0.0002008858299177045, 'epoch': 1.33}
{'loss': 0.0001, 'grad_norm': 0.0009757608640938997, 'learning_rate': 0.00016196791583296245, 'epoch': 1.56}
{'loss': 0.0001, 'grad_norm': 0.000575164973270148, 'learning_rate': 0.00012220669138693287, 'epoch': 1.78}
{'loss': 0.0, 'grad_norm': 0.0004405127256177366, 'learning_rate': 8.440390193117169e-05, 'epoch': 2.0}
{'loss': 0.0, 'grad_norm': 0.00038881192449480295, 'learning_rate': 5.1223293140244216e-05, 'epoch': 2.22}
{'loss': 0.0, 'grad_norm': 0.0003611617721617222, 'learning_rate': 2.500291213762274e-05, 'epoch': 2.44}
{'loss': 0.0, 'grad_norm': 0.00035220751306042075, 'learning_rate': 7.590358729742807e-06, 'epoch': 2.67}
{'loss': 0.0, 'grad_norm': 0.00034694033092819154, 'learning_rate': 2.125956484857083e-07, 'epoch': 2.89}
{'train_runtime': 240.2244, 'train_samples_per_second': 1.124, 'train_steps_per_second': 0.275, 'train_loss': 0.10290396801726522, 'epoch': 2.93}
